@RELATION comment
@ATTRIBUTE comm string
@ATTRIBUTE ratio pos numeric
@ATTRIBUTE ratio neg numeric
@attribute classe {-1,1}
@data
"stopped picked 4 watch Now cheesy suspect not expecting much least n't cost apparently did n't 5 appeared looked new front absolutely agonizing watch offer running only 81 felt 2 According only hear sounded about kinda gross n't even good only make maybe tried do too many ended incoherent ended free still ripped rated 1 out 10 n't allow use ",31, 68,?
"knew n't going amazing thought give thought potential Unfortunately very fake cheesy gave seriously dropping n't help notice Maybe focused writing acting more many drop getting annoyed glad did n't spend 9 50 see ",30, 69,?
"JUST still slight racist southern totally top fundamentalist southern serious n't read ever seriously watch ever watch seriously due First felt rolling repeatedly all sadistic frame black even accused accused young black impassioned barbarous approached convicted defend stonewalled small good alleged now all fabricated main beaten administered black even played Russian get actually did few seriously overacting hid freed Then suddenly psychotic used white enlist concocted carrying few now again deluded final 30 weird tacked legal fighting serial skinning on yes right one weird whole corrupt inefficient all just really fry depressing completely rotten white seriously deluded too obviously make ",30, 69,?
"just breathtaking really see Depending either here only one actually get akin natural either pointing else providing inclined later view-- high 7 just n't apply delicious real though speak plain so pervasive actually googled expecting learn Russian pronounced phonetically no just free leave laughing knew meant remain open ",31, 68,?
"many other very good Many supporting very good fatal sure never seen less talented ever imagine better greater see low involved paying beg very much like see not fault worth view ",32, 67,?
"hard believe actually LIKE think enjoy n't bear sit Predictable boring possibly worst give truly painful watch feel embarrassed now sang turn sound came here discovered did won always felt ashamed trade wonderful sadly missed ",32, 67,?
"most ludicrous laughable ever seen start little young bad desperately secretly engaged played two secretly married just so same rare found Go figure one Once operating n't working feel hear Fortunately able filter sharp cutting simply concentrating told doing annoying never stop did n't burst surely start surgical young performed one one attending drunk more getting pulled Not mention medical too preposterous taken seriously operating n't even kept sterile practically able just walk even washed hear too fascinating Ah here all trying kill take Believing unconscious freely happen Well least else incompetent got four running performing major Not even overprotective able check only one interested keeping updated oh no sweet quickly find n't even matter not underwent turned same ignore trying make fell maybe dumb ",31, 68,?
"targeting religious also best set virtual very real begin take labyrinthine old Looked female chased black-hooded not seem as silly aware constructed create popular one later playing liberally scattered mystifyingly only later shown significant made rather heavily presumably get certain happening certain up fighting win save second first not first ten there called called chess-loving afoot one not designed hide own provoking uncover real visually distorted ambiguously defined opening all linked early much made sexual creative master n't real No sooner won suggesting overall negatively very trapped own alluded also cultural haunting present just clever-clever allusive cancelling last dissipating incomprehensible eventually wearing Ironically such overdetermined main documentary narrative taking real own taking independently Such ambiguous blurring create ultimately light match ",32, 67,?
"too wasted few actually watching still managed watch there actually ending glad never paid see awful pointless pathetic not sure hunting married seeing awful real so kick start afraid failed post actually put watching even 1 much rather watch drying feel made good only same ",32, 67,?
"disliked numerous first ten grew extremely disappointed came going salvage least going pull enormous dug Unfortunately that did not occur two see n't know enough interested bring Afterward just felt disappointed three even find very difficult given amazing uninspired interesting one so poorly written directed edited suffer tainted disrespectful dealt sexual trite insulting small-town two main failed hitting one noted agree almost impossible market given finished least hope anyway real cutting true then take somewhat good lending time flop Oh yeah wished just once go see American included sadly disappearing wonderfully bucolic such one main n't absentmindedly disrespectfully littering smashed other such ",31, 68,?
"great became disappointed no longer find Animated anymore excited learn going new watched first premiered very disappointed First very poor cheap crappy Japanese Then again just modern-day like even worse more more more red undead Gothic funny n't expect obsessed Gothic worst turned monkey-demented supposed deadliest hardly so stupid pointless one put evil fascinating complex haunted n't seem haunted not interesting also not just n't defeat n't study find weak just build giant fighting defeat n't even feel just brainless pointless fighting most did taken likable relatable turned stereotypical evil bad biggest tragic find experimenting accidentally giant mad purposely transform giant apparent Just about one two actual worst just mad wrote gave new made more tragic three-dimensional likable so popular accepted actual even used Even used petty becoming becoming petty Great used one created n't dislike just n't also liked came obviously superb 100 loyal still very good not not exactly other so popular given many more more good old back enjoy ",31, 68,?
"saw showing on wanted like thought quite funny remembered only facial dropping stunned awful just suffered said one funniest please one just one even worth much better did n't want watch try hard like n't view objectively ",32, 67,?
"probably more just watch really cheesy only cost one Usually ffwd get good resisted here still not sure obvious this n't real not even more shot about 50 half afraid minute one beefy stagger rubbing something too expensive do multiple flat hard pinpoint refreshing watching pull half-decent doing even half-decent commendable n't bad pretty good too bright scary whole different somehow unknown stuck decorating annual haunted creepy old satanic accidentally summon costumed haunted becoming made causing human treated oddly complex thoughtful lesbian interesting most well-rounded n't salacious--or least more so find legit rather unusual take do resorting cheap other held clearly trying emulate stupid get killed 80 hard take so many already done not sure good bad simply tried make as still appreciated sat sometimes just watch mindless There really too much set not enough gore endless unfortunate overall simply did not enough envisioned very least haunted pretty cool pay go haunted existed did n't mind paying see even never watch again possible great brief used claustrophobic changed good one ",32, 67,?
"pure Sitting wondering going start typical overcome emerge ever initiated happened already bored stiff completely ineffective required immense felt necessary cut not as riveting engaging adult excuse hey take terrible getting put as 10-year saw this agree pure ",33, 66,?
"dreadful scientific always grubby dirty mean-spirited living presumably together complicated scientific seem agree survive main acting leering sinister cloned supposed work other shocked apparently got caught hunted killed formulate escape defeat dark popular most cheap special hardly better dark gray difficult see interesting gray less horrible agree easier kill various escape hardly better unknown sink supporting really really atrocious bad dumb very very cheap amateurish commendable not even good glance doing other ",33, 66,?
"Caught 2 recently n't get watch Just awful n't even remember not first bad enough scrambling editing so shoddy choppy watching deleted original back not nearly enough make warm 2 probably single worst ever seen saying 10 keep typing more say crapulastic made-for-TV ",32, 67,?
"3 stretching fouled spoiled controlling loud sexual laugh protect avoid married low different not gonna happy ever ending said old last recapture Here 2 very good gonna nasty n't think old gonna new shut said more important supported there ",33, 66,?
"seen worse n't remember possibly blocked undergo remember maybe abducted other so happily exchange watching give did produce emotional actually started become angry spoofed other dirtying terrified unable watch again flitting ",33, 66,?
"Along 2 one worst ever seen Just long emerged amusing first five then unforgivable allowing unnecessary grotesque up hip better skipping one ",33, 66,?
"liked give n't act known gonna suck saw believe n't changed first 15 black western ridiculous not just also two ridiculous sorry n't bad awful not credible entertaining certain not using great great great say ",33, 66,?
"all open get mowed Good never dramatic so many laughable did German once rolled whole hijacking moronic going go not leave drive rather bonk 10 then sit again seriously FELT made 60s produced 88 1988 more believable horrid Only watch good ",33, 66,?
"Clearly 1998 2002 2000 atrociously done green red weak weak very difficult find scary two made involving unexpected one one 1999 tingling all seeing actually scary n't see other western big Japanese ten ",32, 67,?
"NOTHING just thinking mad reading then yeah good general similar most completely different So extremely intense horrible stupid yeah made angry just basically just n't important Overall just bad so extremely ",32, 67,?
"n't understand getting 8 3 high once about half just wanted leave vast saying one best seen excellent concluded ride shoot fight better else Absolutely there so great n't like editing shaky fast changing used much old did n't mind still easy follow not used made quite quickly wishing saved else no plot 115 seen absolutely about entire 115 absolutely wide new introduced said incredible writing so perfect doing n't think worry about best 2007 just quit watching entirely Many also said one best not best many did liked played different good barely recognize one next different Not same again n't do not recommend recommend first two most definitely recommend reading three much different then ",33, 66,?
"arguably worst ever seen awful good just managed adolescent consistently tongue-in-cheek really very funny Other funny apparently trying serious As rounded brain-dead asked ad-lib whole Compared There one decent older broad ",33, 66,?
"supposedly hot luxury decked look even blind hysterical 3 do get henpecked later doing getting busted too far screaming here relatively phenomenal not much supposed directed not done 1970 partly inspired 77 also got reunite apparently here not playing just reunited n't playing same one played Happened drawing ",34, 65,?
"n't else tired old nearly dead then apparent sad worthless seen first first say then given completely worthless already known that n't worthless main then shoot n't live Sure died anyway second titled first original 70 little complicated See probably even knew begin much less original HHE1 now named exactly original just worse anyways original decent better most likely low quite honest n't good only made few good few alright horrible Cursed yeah made well original latter only seen few terrible Now co-written new Last even better original tense do main not crazy made dirty first finally last few good got bad felt good new whatsoever Just violent happening mostly stupid hardly menacing here Just ugly hiding getting tired stupid making just other watching kept walking giving then eaten only stayed close do given Here exact same take even dying seriously n't potty then learned else Seriously n't more scary bringing still losing think even made first less menacing More bad More More More actually Less bad Sure more not whole there only two three bad last made whole watching Seriously brought exact same last gave exact same watched Come give due good n't even think like probably wrong most sped-up even not frightened not shocked 8 old n't even feel seen new ",33, 66,?
"Yes one few longing trample let advertized enjoyed right now totally speechless not sure spoil first did not know called not seen sucking not seen mean Give Second bad young mainly so-called various judging mainly n't get wrong more extreme almost 15 going scare showing ridiculous running pretending only only use here Third Wait wooden alright very gory that make strong enjoy briliant not chosen create ARTIFICIAL wanted see treated stupid looking loved use simply advertized saying cheap whole sick ",33, 66,?
"happened secondary doing aside let just take offered extraneous awful up craptastic Rather serve run curious made 5 Canadian American difficult tell filmed Canadian rather rather obvious well One know basically dumb One double probably killed never really established true One sullen removed just then blonde blonde 2 clearly same younger called more once very ominous knit roughed worst Irish befoul most likely many Canadian swampy 2 more once got fake Good Unbeknownst horribly inbred brand spanking new Perhaps nearby blind deaf working Also unbeknownst roughly 600 believe happened end somewhat lumpy yet amazingly spry fairly strong wonderful There not more one made yet only one odd looking seen ever one odd looking finally killed apparently passed running initial one outfit second full up thus just used one anyway ashamed Also aside shiny new inbred posh fresh ready next tied also then enough slack just undo making one even tying dead maggot-ridden guess about 2 passed dead also wore left 2 left giant not unusual also pop also known sadly somehow n't suck special poor used maybe breeding poor still stuffed clearly tacked fierce mental cultivated encouraged excessive Apparently n't just random found late apparently heard even followed sad all more say all ",33, 66,?
"went hoping provoking little reviewed expected dig too knowing hot expected really entertained maybe even see say wow then maybe like personally n't like on cutting thought bad bad acting bad bad directing bad editing go claimed making political giving 10 misleading ignorant n't setting just other OK watch as long controversial not know bad 15 praying main horrifically unfortunately die not painful given watched 2 just endured do just do n't even bother got local video 50 feel ripped ",33, 66,?
"One worst ever seen terrible Most showed little not enough terrible too many shot just destroyed 4 swimming supposed not getting best acting probably Cappy Cappy died still still heard extra manually then again THEN finally not going perfect independent still better Not worth watching honestly even as well watch good going see remember ",33, 66,?
"Just saw admit surprised even so many bad editing old better watch acting OK please really feel feeling made bad just wait ten hear n't even tell ",33, 66,?
"bad Not one funny bad lousy bad one actually painful watch awful jumping green yellow used sickly not convincing tough believe signed criminal terrible acting n't seen n't not missing only waste two watching seen bad before even enjoyed due one just ",32, 67,?
"dispense usual certain legendary known neurotic quite frankly draw bumbling loser just such also avoid mentioning spot-on same however compare waking own painful watch really doing pulled early cruel let live made suffer indeed one not even worth discussing severe offered permanent main mail 17 high ludicrously unable perform simple Big not passing best one passed self-respecting leading call clumsy chubby receding untamed facial cringe-making plain disturbing did find Playing own one n't human let alone assured aimless never before so riled further confounded incessant as comprehend further explaining first filmmaking dramatize n't tell judging Hawaiian shot supporting relieve intense felt one very funny driven insane old harassing holding did make chuckle soon passed back checking also do ancient Japanese n't fooled thinking only played made there very good ",32, 67,?
"never saw awful already jumped came pay just see few censored original just tiny pathetic 90-minute hard Did really feel sorry messed-up Did really even wanted Obviously so later wrote weird Did everywhere audition stay fresh 90 hounding worked 30-minute not full-length nice see Unknown again make spicy included only most vulgar else pointed first significant even only Note spelled born n't miss facial even much thinner younger also tiny one first leaving ",32, 67,?
"only ever walked sucked saw even Not funny 14 old wrote n't believe real actually awful ",32, 67,?
"Awful buried Terrible less believable terribly written try give little miserably did n't write ten given Horrible retarded so contrived weak as do just ran Most likely due good Good hardly see least one important future ended thousand different as cheated precious n't bother one feel wasted never get back ",32, 67,?
"Just dumb old trapped really dumb then trapped really dumb save unlucky yet again escaped convict kill very dumb saved dumb dumb never figure unattractive ever made leading glamour-oriented so beautiful So photogenic mercifully short running little as sensed making thought best keep short ",32, 67,?
"As far tell earlier posted other currently available found only few ago paid grand 98 found 98 plastic disposable Now n't shelled super-duper Swedish limited thought indeed well worth 98 99 start argue clearly worth 98 saying getting only ",32, 67,?
"disgusting painful 1-2 full laughed 90 not not even rent just too mean believable OK Just OK felt sorry same always Charming sweet completely unbelievable ",32, 67,?
"sucked big did n't even manage see did though Really bad acting so bad just laugh strange n't know just remind n't mean naked become just bad naked not original nice final n't see not worth see better see ",32, 67,?
"exactly really over stretch just passed there driving then pitting 1 not add pull due dodgy just win far short Now n't take wrong made n't think enough describe bad First n't bad potential there make not talking 13th potential less really down acting not one watching heavier like say seen worse n't ",32, 67,?
"Even over 180 choose often named best even legendary personal So maybe thought dreadfully boring overly confusing great though performing all downhill here unfortunately eventually decent work well nice beautiful mesmerizing musical greatest indeed n't lame uninteresting supposed psychedelic say sophomoric better describe shown here n't going on exactly said so even short running 80 last most certainly n't best according n't even recommend die-hard looking more superior get awful ",33, 66,?
"many worst ever seen say about virtually did n't like However nearly 700 remember ever seeing one one two walked away feeling personally insulted angry first registered just rave went see two 3 5 there 15 n't remember very many leaving still crystal clear begin left ski blonde meet main pathetic dramatic happily ever Firstly so bad took understand trying FUNNY special few done 15 earlier big dramatic so poorly acted nearly unbearable watch entire laying sure much much more seeing again ",33, 66,?
"utterly dull senseless pointless spiritless dumb n't final forget already took low-budget merely secure started very well got completely lost bad once-promising quick absurd two likely meet spontaneously start more akin lunatic potential even bigger illiterate smashing stealing then actually Now recent put incredible ridiculous seem quite arrogantly take leave quite absurdly take Not only utter anti-social supposed calling just too dumb plain awful unfunny nowhere often improvised complete little so bad embarrassing watch also questioned agreeing financed 1000 leave selling own ",32, 67,?
"better known only watch very thin once just waiting See try pretend n't happening ",32, 67,?
"good lurking here n't basic good explore moral face young so muddled impossible get involved four understandably paranoid catching mysterious airborne wiped virtually all surgical some not fanatical wiping touched infected Other completely unconcerned apparently surviving new kill-or-be-killed constantly total n't bother accumulating proper forever running nowhere n't take elementary wading rotting entire human as squeamish sheltered constantly wonder survived long even did want make So agonize moral impossible take seriously first make minimal contend dubious acting arrogant young seemed shrewd viewed exactly same arrogant boneheaded impossible not suspect entire dramatic positive excellent got over-sharp saturated really southwestern n't save truly feeble paper-thin annoying Even save watching ",32, 67,?
"deciding really Consequently even more delivering began poorly describing sub-atomic established fuzzy presented talking built ridiculous intimating same cosmic Then made positive interrupting bad always bright came change more less create sad create sad happy create happy just so simple n't Interwoven fictitious slowly surely trying get say just cheer n't up Obviously basically entire second brought all whole not collective change many different choose do good nothing better such wrong so such ever came still do good anyway even such bad good decide make good all then cease nice freeze pretty Still Good more According whole put doctored higher before since positive keeping young healthy delivered older looked So not lucky enough see one three yes three fielded following lucky first-hand n't know talking about Several asked so stumped step recite finally leave inevitably turned political including began speculating wonderful only see ",33, 66,?
"OK good 1 becoming organic pure just savvy paranoid exactly organic First organic much more complex even way tinier considered one simplest organic attach attach then change own processed Maybe see that obviously did n't think ",33, 66,?
"Alone one tied worst ALL say all two bad worse bad low huge n't happen stupid grabbing simply n't care more shocking shocking already real created only once blue really terribly bad bad insane random appalling dreadful watched absolutely over Give 2006 speak again n't watch ",32, 67,?
"getting Well glad did n't participate did n't win n't funny just look first 10 make come on Just look watched produced n't bear watch whole one doing military typical average once just n't really high most watched n't great total scripting just made pretty easy switch n't remember rare n't then yes watch contemplate well indeed produced best out there Die 1 name only say n't give sell just just desperate conceal obvious really made ",33, 66,?
"major one best 90 developed fascinating played However little add perhaps let down due raised favored long n't really given much do much more spent uninteresting act uninvolved almost bored written update lightweight Perhaps whole instead just one two-hour written much more As skip old 90 far far superior ",33, 66,?
"n't know about made so viscerally Perhaps so unlikable not compelling enough care about Perhaps disorganized Perhaps wore long dangly Perhaps all break Perhaps never Perhaps garish Perhaps driving n't know made so trying watch again not willing find ",33, 66,?
"Good Believable Just awful wasted perfect watching other rated worthy very good good here back setting good more done very slow grow never totally much much needed More done main looking watch not not sitting long only about 1 deep ",33, 66,?
"official n't pretty little wondering chose n't appear one Instead snaggletoothed apparently pop judging pop just wasted typically required do here stand look mumbling Asian too old manage even big move like do feel bland 2003 flabbergasting no never connecting hurtling own usually dark maybe lucky one most rarefied technically accomplished mesmerizing same created conversing machine-gun about ten straight impossible directorial trapped making laconic two now dead least two great true arrhythmically blinking floating blue making remove two great make more consistent appealing not need refine refine further expand bloat release inner squandered so senselessly clichd do supposed authentic held facelessly speak now last safe stagnant n't talk real never stop jabbering Then again considering 2005 alone brought diverse rich now safe say even surpassed really sad good frankly n't even begun still there such moody early bloody holding back however comfortable make same over hailed gullible pretentious else almost up catching double-quick more maybe three now cribbing tedious about go own dark forever out reviled leave social Let painterly express full not going ever get otherwise ",33, 66,?
"ever all one big straight video immediately forget watched better yet n't watch quickly wasted going fast pretty darn bad watching particular new firing standing moving ambient own ",33, 66,?
"stalwart British pleasing hoped expected more entertained Unfortunately found glued wrong n't quite believe awful watched old always ready make really hard going noted major n't seem know gentle romantic gobsmacked suddenly broke 15 not believable never Other defied included suave n't appear slightest Come ludicrous whole silly worst possible pick favourite one very wonderful went downhill big ",34, 65,?
"one expected far better spent lying best make very interesting limited lying falling asleep entire revealed closer never cryptic happy underdeveloped also felt back forth past present unnecessary seemed as stolen either used increase used create never ending main cheap did n't work create attempt left wondering good n't written really ",34, 65,?
"n't buy bad forgiven excellent not other decent moved too slowly about 3 4 mediocre lasting only apiece last longer so bored did n't even pay ",34, 65,?
"unique titular actually good horrific gone awry poor mutated evil n't mean do anything malicious just slugs- sharp excrete less real bad either actively try destroy beloved overreact take full just hanging comfortable out nowhere giant came reacted instinctively defending biting Now instead seeking medical bite screaming highly volatile own then volatile blame less favorable dumb drunk mean lumpy least older also drunken attacked copulating see skinny long-haired Meanwhile demonic n't declare happy Finally rounded classic eating easily avoided blamed helpful harmless portrayed greedy stupid racist one pointless would-be climactic villainous burn cowering helplessly Well alone more ever did appreciate bad also appreciate enough bad acting silly illogical lame special pointless poor hold ",33, 66,?
"fine such allow cast nauseating not only bad down right horrible redeeming there one seemed go no played silly kill killed declared null void pathetic gave 3-4 turned 1 awful only nothing lower n't waste one not miss ",33, 66,?
"say watch corny rather driven gave more as much acting self make really bad even worse Crazed needless real weird give -10 1 as low playing saw real worse ",33, 66,?
"one worst 35mm ever unleashed least entertaining pseudo-documentary original worse acting hoping come rescue take just escape ",33, 66,?
"one most idiotic ever made about wanting First not one funny clever entire honestly so unfunny pathetic surprisingly not much crude sexual plentiful really low also only rent small only 10 one animated reeeeeaally cheaply just pathetic hate too 86 rated ",33, 66,?
"first quite entertaining thought provoking thought then scrutinized baseless see not rooted Transcendental mentioned reduce given about 30 higher 1993 average absolutely debunked either poor indoctrinate not waste looking long winded provoke consider 1990 ",33, 66,?
"Absolutely one worst ridiculous poorly developed irritatingly stupid all fresh off doing noteworthy beautiful possibly caused driving one convertible even supposed rich new then watching learned really fat pathetic got murdered three tall shadowy lived soon see dead evidently wherein dead send living video dead other possible better start messing indiscriminately n't just write down knock form creative never explained eventually actually seeing go help n't know just tall dark just travel dead using mned right bemused first ten hard miss actually serial working three tall shadowy down kill looking Just then save send apologizing evidently feeling best protect expose little just not even talking rang yelled ",33, 66,?
"Possibly not awful Even fantastic save OK started quite funny seemed plummet downhill as soon jumped turned quick witted humorous shouting just n't funny trying too hard funny stole come national invading killing many One good arrogant imbecilic really unintentionally actually felt disgusted really released ",33, 66,?
"least drawn justify just unintelligible just plain stupid went nowhere legible just drawn pointless really stupid tacked say beep few watching n't get masked never removed suppose raping ugly deformed serial getting killed else really weak main did n't try killed tortured sent watch video unknown all wandered individually poorly written teenage killed one other die one other just keep wandering killed horrible real reminiscing watching masturbate nope just thought throw upset animal then believing psycho let go more gullible stupider never saw not totally hate find explain pure doing anymore more deserving n't dream get again make see actually best actually okay ",32, 67,?
"not sure dragged watch few started wanted leave hoped least surprise then realized just stayed only some quite beautiful mostly terrible design look great still not come just did n't work mostly very same most 3D technically very hard create really natural 3D make alive hence create really made just did n't work ugly cold just did n't made meant big choosing just 3D n't want go n't know also professional terribly disappointed low 9 stiff almost lacked just little most average 3D saw n't add bad bad solved good not here Actually worst straight forward straight forward same good even heard saw overtaking 9 just one very first n't even get just there showing almost immediately immediately even getting know going just did n't work also many repetitive looked as made fill Acting oh tell pathetic Bad bad n't do do do alone do together save so repeating so terribly pathetic non following almost even sounded as even unrehearsed bad acting bad bad sound bad bad bad expected Only good not worth ",32, 67,?
"went see one much unfortunately utterly stupid overall far inspiring Even see missing creative inspire make precisely happened Star ago many imagined becoming igniting own Seriously n't waste one ",32, 67,?
"not already cast tolerable simply frustrated paid about travel new funny remotely romantic deceptive best paid pass definitely dead naive ignorant sexual perfected repressed 30- failed neurotic drunken yet simply restating get not rehash already prime drunken female bonding visual nice obvious happy ",32, 67,?
"gave now trying surgically remove DVD got quit excited other brought much previous great wrong First did asleep doing went very much full hired read went blind see absolutely do not quit sure annoyed did do listening impaired 90 old drunk right cranial 2nd spat actual never said loud unique really not plank pass whole strip well got Maybe just got word exploded Stick directing directing so horrible left banging so hard brought back 2 n't wanna watched 1 ",32, 67,?
"borrowed delightful wrong bad write SO bad very painful watch pretty not seductive witness awkward seduce almost other major so ridiculous so pretentious humorous then acceptable ",32, 67,?
"n't relate failed engage intellectually emotionally aesthetically very dense uninvolving n't connect hence care finding hard find much positive say read understand properly one familiar more obscure Catholic admit probably unfamiliar many finer also seen many dealing religious touched still universal human n't rely specialised ",32, 67,?
"small seen here praising down personal more surely see total So bad not deserve only assume great involved trying give n't con saying otherwise weak previous likewise hide using instead n't disguise sadly complete Absolutely no redeeming utter utter awarded simply get fund put more did actually making ",32, 67,?
"Slow nice changed sometimes annoying first 75 did not enough good last 20 bring else spiritual cutting very much disturbing actually changed general abstract modern Japanese great weird Did not enjoy ",33, 66,?
"1914 began making made also known literally churned very rapid short very little completely libbed popular just awful Many strong featuring obnoxious mugging Many pretty much regardless sent straight pretty bad very successful only began evolve later 1915 signed new lucrative improved dramatically However still very rough not especially memorable cute still evolving 1916 switched once again improved became more recognizable nice many previous just getting drunk beating provoking innocent final classic occurred full-length interesting called only 10 Oh well little neck inexplicably practically sitting really annoying n't understand short wandering annoying later Perhaps looking n't know just n't particularly funny--even slapping other pushing other typical poor began give ",33, 66,?
