@RELATION comment
@ATTRIBUTE comm string
@ATTRIBUTE ratiopos numeric
@ATTRIBUTE rationeg numeric
@attribute classe {-1,1}
@data
"other alluded previously like know actually read went next going green examined actual responsible actually dishing made reading well love give maybe like just give more atrocious funny least made good incredibly funny here not only not only acting terrible not only entire finish not only amateurish find actually pay see Maybe free still Usually inclined write long winded detailed so bad just suffice say talking lowest common making about as unfunny 0-10 top ten worst ",41, 58,-1
"one so bad almost very funny absolutely dire appalling purely only letting true so bad good sound only quite bad trying hard n't least destroy finally last not least appalling professional very much feel sorry sorry put ",39, 60,-1
"just terrible first n't great ridiculously stupid did n't enough first 5 add one just not make ongoing tell exactly actually very very good just n't understand supposed 1 old n't scared ridiculous least want scared so called no more ",39, 60,-1
"excellent certainly rise acting put Unfortunately Watching only one alike not fall asleep mind-numbingly boring very predictable unimaginative very hard funny forced extremely poorly directed embarrassing complete third still capture even most willing even hinted not mention actually happening pretty sure liked faked fake did showed old n't care less about Watching 2007 nowhere near somewhere -Repress doing Well bore done very good 2007 complete n't let Rating 0 100 ",39, 60,-1
"first writing write one 3 unadulterated starting get gonna bad pathetic big loved worst worked hard one somehow missing prashant non most irritating took repetitive somehow felt tried repeat did n't work Do n't ",38, 61,-1
"already thought similar similar first came mind watched said there sexual bordered edited presented more suggestively rather graphically liken torn kind like handed put together finished lacking unfortunately many monotonous teased finally going find more about going on maybe finally going get know appreciate more involved more such contrary many tempted just turn off more once stuck dangled only find poorly presented just stayed other usually better gave 2-1-2 not n't likable SOME n't identify just so much better just little more shot find wondering given better honestly frustrating disappointing ",38, 61,-1
"n't understand done far worst related totally unfunny public 1958 just two do best funny specially playing young Overall more boring see ultra cheap absolutely funny little related truly recommend instead ",38, 61,-1
"lukewarm best high big popular rather funny main supposedly humorous entertain did n't hear single entire going page-thin one-dimensional single not wished 90 here sterile clumsy good doing best come certainly n't seem great let alone comic linked together very thin good haunt ",39, 60,-1
"n't expect good n't ultra violent filmed bad looking hand-held hilarious obviously never acted before terrible hilarious seen little find seemed escaped terrorizing actually most sickening ever seen raided many dismembering eating funny sickening about as bad get 90 ",38, 61,-1
"updated fresh female raunchy passed not repeated probably watched Still somewhere accompanying updated 2005 knew about fast still good go skimpy short even arousing pink n't beat full bouncing topless too stupid graying threatening turn 7-27-05 ",39, 60,-1
"convincing did n't exist probably remembered Usual got one -The dumbest ever pulled trying convince actually one saddest seen long so well really fantastic great very smart alas only heading so not single nagging little Pay here found explain enough probably capable explaining very very plausible seen read totally different explained set totally playing cunning play resembling jolly same painful terribly wrong apart blunt not dealing here blatant ultimately wrong here drunk crashed next take so many never resolved needing work drinking ever explained finally going pulled yet one n't going anywhere thought awesome make anyway next something 1-10 totally violating own professional easily instead contrived pseudo debate stomach avoid ",39, 60,-1
"amazingly bad n't think ever seen failed as miserably Let see acting pathetic special horrible pretty much ",39, 60,-1
"produced few decent acquire worst probably prime regarded belonging so bad good up there handing top made odd dodgy randy so incredibly bad seen believed ",39, 60,-1
"bad sat too long n't believe so many talented wasted making hopelessly awful ",39, 60,-1
"just plain terrible made see forced 20 other watch worse 6 9 put together made so terrible enough want kill made acting terrible completely different Literally so bad asked excused Basically rather watch Basic 2 Take n't watch one want watch horrible ",38, 61,-1
"make supposed 1 never told 2 based DID acting neo-au-natural needed knew do 4 individual all dreary go not want make as boring 1-2 4 2 scalethank as alwaysJAY ",38, 61,-1
"Once brought wonderfully thrilling such made looked fantastic ahead generated special landed 2 showed gave possible new then happened 1997 countless obscene outlandish advertising maximum here never ever one jump overly critical often taken opposite just get going however only took one single absolutely gorgeous 90210 more wooden meant terrify actually comical falling hitting historically false n't even get started too much dire up there pointless so tedious absorbing pathetic disrespected else involved glad died disappointed did not plainly obvious designed appeal watching chewing chasing teenage resembled less heroic weedy drag sex-starved three half hoping get lucky later worst did not stop went see expensive so much produce great said good crowning arrived swept serious fatal three half based looked praying making inaccurately portraying However stupid sentimental enough buy get ripped Good make do right up there worst other silly historically ",38, 61,-1
"say very curious viewing considered notorious released 20th 1970 also popped several bad only deepened just see made so bad seeing say make curious acting so laughingly bad supposed completely missing try carry so far down hill handle alone certainly sometimes doing there alter even own celebrated dumb certainly seemed convincing arguably most notorious went 75 old plastic making sexual seemed more suitable n't mean put down personally one looking good so unassured non-existent not only bad boring well old old even more disconnected own enjoyed glad least saw always reputed ",39, 60,-1
"directed Italian partially filmed easily forgotten Even good lumber almost aimlessly new powerful fighting own Unwritten hard trust especially same not put real Just back American Even popular American n't boost also ",39, 60,-1
"Sometimes see bad just appreciate good Well anyway one always bad simply terrible Martial professional turned straight leaving two past haunt kidnapped belonging rescue old six other feisty save told cheesy whole lacked Much meaningless coupled as thin sum up bad remove remove throw Martial formulaic give due probably only emerge unscathed terrible shone n't say excellent absolutely work did manage dig Other only made other mostly very brief Elsewhere just fell completely unnatural unbelievable special obviously done clean blue editing involving numerous elementary unflattering seen better lost too many Most probably blown away seven same did n't leave much else Frankly made cheap n't do really apparent here one forget ",38, 61,-1
"grasp 1976 BORN coming consider final sung seven second followed two-and-half-minute striking Christ-like closing ten uninterrupted distinctive dead filling big uncompromising just cinematic two musical yet performed including interminable n't allowed complete even one single allow contribute little up actually consider least six including taking musical also allegedly wanted failed get well One as executive going former such controlled final so obsessed skewing n't explain come given make good only make look bad Even one greatest arguably worst worst moving pop fast hard heading off previous leading help achieve feminist make clear skewed succeed pretty much one endure obvious make leading not just tougher almost ruthless henpecked credible making little give much oddly aimless listless well other not one entire not too rehearsed least too controlled Even apparent awkwardly premeditated supposed coldly mechanical two making central totally unbelievable presume fading 34 n't seem particularly young naive only conceivable offer exploit faster indeed actually play make openly play exploitive maybe exist actually sympathetic n't seem aware just cold-blooded absorbed not one strong petty giving two African American just so indulge lame calling big pointing ethnic using given changed previous so n't burdened too Jewish too unattractive So much ethnic backstage stabbing backbiting proceeded near legendary ended looking so polished remarkable delivered raw good considerable did serve producing decent including Oscar-winning overall turned one reportedly claimed did n't want ",39, 60,-1
"n't like then did n't think much lauded many found lacking disjointed illogical far more readable dreadful first not published became fashionable mid 80s intrigued see make such meager worked hard script-wise repair many did n't rescue There never ever tried stay forgettable ",39, 60,-1
"worst ever seen weak n't even follow high-schoolish sound irritating not editing horrible even slow embarrassed associated n't waste even thinking acting ",39, 60,-1
"First really happened other bleeding inexplicably Second n't scary worst ever Let elaborate edited not sure so just go gradually more more quiet forcing turn watched Then really loud supposedly scary-shocking forcing quickly lower again many mercifully picture laughing vulgarly two-way watching franticly reaching remote watch scary asleep one big then big anyway Here going make least add gratuitous 19-year-old blond just take eaten alive just out thrown scare drifty maniacal covered aluminum did n't even try scare just wanted hurt ",38, 61,-1
"great no longer n't blind 1981 pretty ugly No conceived doing One did respectively creating iconic new run embrace all-star filming meant go wrong Alas said premiered 1981 tried take legal reunited boozy abusive set find local poo-pooed conventional worth watching wonderfully hammy tanked singing Irish Indian somehow found did same despise creepily incestuous perhaps tropical long however local circulate famous future making rather odd fluently Given some probably not bad eventually located gigantic run halfway n't other watery generally located low-lying just one many mount echoing hapless plummeted take nude giving see gratuitous Out nowhere single male Now usually never go near later wrestling venomous n't seem one strong enchanted take seen wonder not only sued highly probable certain here badly Especially ridiculous clap finally get captured rather stereotypical prepare sacrifice-eat-execute Suffice say impaled huge n't stop dying delivering rambling far aware never materialized crucified no kidding directed 2 living domestic ",38, 61,-1
"confused finish used say secret played backward watch start come away same Apart psychedelic false clearest did n't get sorted like two delivered comic dimensional so maybe rolling reveling just did n't get Well afraid get two cardinal bad carried finish non-existent pathetic call far worst not single cared about least ",38, 61,-1
"rented 3 ago still worst ever made n't think ever finished worse made high doing 1970 newer n't remember n't understand possibly said too remember just horrible returned video asked even get back worst ever seen seen pretty bad ",37, 62,-1
"Take 80 got few ten-year-old come big enough too much as gritty recruited retrieve American stolen hidden hardbitten former now depraved blah depraved not much running shot keeping Apparently did n't see one thought give even Even poor distant very little main silly enough blonde far bigger go simpering frightened butt-kicking back again amazing pretty much bottom here probably just out easy Look talented future Once stereotyped menacing Much too dull even guilty still noisy enough play want think ",38, 61,-1
"other mentioned interesting comic got carried away artistic instead badly needed content stellar lackluster nearly incoherent likely cast purely get press good here lent Breathless inspired stratospheric due large not in slightest guess major came Breathless think two out like back Save wasted not bother ",38, 61,-1
"weak weak really weak special lost valuable watching random seem get sad main turned huge n't so bad laughable funny main one only redeeming killed sad bad best one cheer all said done better left cutting never funded ",38, 61,-1
"crazy working obviously common disowned editing incredibly thin stupid only two out ten nice shot never thought feel sorry making REALLY bad gifted never shown least refuse put anywhere out ahead actually beginning still locate one probably worth only worth IMDb spoil spoiled ",38, 61,-1
"not big only seen appreciate frightening not pretty sure n't scary so spooky little everywhere faraway establishing so real Not scary anyway third look-a-like giving one worst ever seeing hearing mysterious Did lost first mysterious drowning did same old rich trying kill drive insane see well-done try one hundred more talented okay paired short however good eight now paraphrase bad ",37, 62,-1
"started watch looked warm touching started well soon became boring frankly idiotic got so bad turned poorly acted n't really understand wanted understand exactly put lost rude acting singing cleaning committed most made throw token gay boring expecting more ",37, 62,-1
"pretentious pretend endowed beautiful ignorant n't get Obviously stick artistic good one chosen few Almost self drowning own almost equally embarrassing wallowing artistic difficult understand apparently best describe alienating ",37, 62,-1
"terrible marginal well liked early 70 seen original least 6 1997 20 crammed 2 completely different major far-fetched one next original go get hit still keep only took few change many longer real Also chose trash 1968 abuse 1970 shot dull n't painfully obvious not grieved lacked cut dried One more exciting energetic Last surely not least made hit 180 185 total say thereof n't waste watching one ",37, 62,-1
"Spanish not bad smart interesting not badly directed badly acted boring boring missed interesting ",37, 62,-1
"really disappointing seen first really good one really bore disappoint really waste went first get very small useless cut also not well define previous one also not define confusing ",37, 62,-1
"desperately break serious begged awry fired beautiful empty too startled discover uninvited soon help new navigate more finally make true not run smooth Soon stalking hoping true do loved old same not worthy tie proverbial truly undeniably awful supposed special flat too okay simply terrible overacting adequate as Even convince pick video assured find colossal bore so opt 80 instead ",37, 62,-1
"sat awful write so say bad Indeed supposed infuse visual forward constantly shaking playing propelling forward also editing random Apparently become hip just cut randomly too much do good editing Well made too much work most watch languished one most over-hyped unwatched ",37, 62,-1
"never follow too closely especially beloved one saw executive thought good enjoyed n't bother so far afield two hardly one Here completely different n't think single made screen oh just worst passing really did n't cutting meant enthralled grown obnoxious juvenile simply not work ",37, 62,-1
"watched sat entire miserable say one worst get Now imagine admittedly slim now made hilarious n't know genuine acting pull Maybe trite formulaic even lower take Maybe believable insensitive bigoted appeal insensitive bigoted mass insensitive bigoted annoying unfunny necessary let alone entire noticeable n't believe identify not funny anymore ",37, 62,-1
"please n't rent even buying n't even available red rent cost 1 worth less main rented 2-5 give hot other as well buy same more acting not even front watch almost whole most big huge ",37, 62,-1
"most Arrogant Irresponsible colombian cliched dumb Colombian naked absolutely pitiful right out notable bring so one-dimensional cliched so badly written left work Not mention gratuitous ending so cheesy make editing most directing always lousy least previous n't say good Colombian mean-intended ",37, 62,-1
"later regret blame alien rational later reveal engraved endless signing new picking homicidal still sending third mysteriously strapped guessed environmentally friendly thoroughly recycled turn stuttered repeating willing intact naive stemming cool looking really wanted work Sadly old explained entire fifteen sudden knowing still unseen worse knew just badly all suck Let perfectly clear here English sufficient ultimate properly describe just bad really As knowing wrong old one not worthy fill conveniently sprouted extra main threatened meaningful infested miraculous concentrated poorly explained happen gave national Let try explain get set successful last First take rasta-talking One remove ready club take close even call subtle give one confused trying follow Finally raspy-voiced pointy worthy giant angry deleted latest lay particular modern Now run find sudden overlooked dissolved homogenized serve semi-gelatinous several found saying loud Make bad breaking call giving undeserved physical possibly pass somehow sleep most short ever burn punish hideous unspoken just ",37, 62,-1
"Amateurish extreme especially overwrought documentary n't spin truly inane even worse disjointed meandering gaping one get thrown rub suspected thus get found entirely unbelievable so many really rash only really did truly wasted make interesting financed ",37, 62,-1
"2004 liked Then became very stupid brainless used great One liked did manage interesting imaginative programming putting 20 as only interested making rather engaging making tuning old 60 find interesting watch Perhaps look programing gone ",37, 62,-1
"first two snappy stylish Here two recent still empty-handed parading sub-'Usual greatest ever pulled convincing attempting real internal maintain second last lead blind tediously slowly great too superficially too repetitively make much only almost watchable bold dynamic stuck more satisfying succumbed tighter editing n't made enjoyable not equal see great n't make logical incidentally also inexplicable solitary ",38, 61,-1
"Well very insulting original expecting brilliant so disappointed awful original came few born now 25 still one favourite really excited see 2 awful original very badly written directed acted not see again n't watch only leave very disappointed young n't bad still n't compare ",37, 62,-1
"only did walk good n't really comply only get good low terrible sorry saw leaving stayed hoping better got worse make re-direct making definitely ",38, 61,-1
"let not believe use n't like not not hated damn non extremely shaky whole seemed terrible clearly amateurish best sounded just narrated all one did n't practice many talking also pretty damn bad whole mythical not taken seriously biblical stated not believe n't think not real personal probably real lived blown farther got According good virtually biblical Jewish regarded baptized accused sentenced 1 left wondering more else left wondering trying convince more else most telling final religious not even coy unfair partially bad confronted just awkward watch perhaps get good going more tactile Instead off aggressive n't bad teach short did say oh yes seen now secular getting wrong done n't about do supposed documentary really doing here real so-called ",38, 61,-1
"non thought really going holding thought great only got sided all interviewing n't know proper got Not retired wrote finished 1970 Personally not worth check right wrong not believe told think came not finding own got better not going say stunning help reading better really show about poor then entice not ",38, 61,-1
"caught this few ago decided watch 4 old got psychedelic go just bizarre Not only annoyingly forgettable requisite cheesy long collective produced good acid Talking British far too old huge whole otherwise willing get looped watching stay far far FAR away ",38, 61,-1
"one little better first one still basically saying old not realistic thin so many more interesting one There tremendous total Hopefully one real come back ",38, 61,-1
"Ask looked intriguing especially Unfortunately not compelling enough considered n't funny enough practically seemed satirize entertaining seventy waiting get better walked valuing not wasted more such simply not interesting moving funny artistic as written produced directed high worse such shameful otherwise extraordinarily talented not mention ",38, 61,-1
"Sometimes unique one such other ever seen unfortunately unique different originally intended hopefully become clear commonly know apparently filmed extremely dull American somewhere opening play proper introduced real named 40 own crappy little beef flavoured old teenage various real even more However ugly n't tempt young go else One fateful old homeless go actually spoken hassling teenage help learned transform same crazy too much give public few extremely silly whistling yeah n't making up either first visibly disappointed significant console buy shocked sell underage bright happened out claiming sent buy now straight local high four teenage disguise oh become simply asking first harmless just hang soon brutally so determined catch responsible killing succeed again wrong watched mere ago clearly directed also definitely not credited not much more happy take making one involved allowed go anywhere again ever easily one worst ever seen saying absolutely terrible possible imaginable atrocious narrative happen so mind numbingly dumb untrue totally incomprehensible hired chase two squirting simply dropping subsequent hilariously written psychically laughing hated well not only predictable open psychically mere technical awful bland inappropriate forgettable poorly edited killed clearly opposite worst acting sat very unimpressive special few quick worked virtually Even 76 odd far long really boring sit go long about bad really One n't quite work intentional indeed unique unique unique too said still not worst ever seen sure one avoid ",37, 62,-1
"n't programmed Italian seen called terrible chaotic dark fluorescent completely out n't describe visual first interesting few later busy interesting complete ",37, 62,-1
"make already basically Well n't intrigue n't stay away seeing actually able sit n't play cheap even cheaper real only known call about living start live brilliant call as well getting Meanwhile somewhere else together So talk even thinking now giving totally unattractive remember american Well take now white drunk really too horrible out call getting seeing sing own hooking well least smart enough stay ",38, 61,-1
"thought masterful two replaced just n't same as portrayed Maybe recognized poor extended find pursued not expect wait long not find foul highly unnecessary shacked according stick first one try forget ever saw ",38, 61,-1
"late sending went down analog rental known Real bad 150 latest lame never see saw there all lonesome seeing based serial just never understand therefore see put sudden very first sitting there Unsteady horrible first killed rather just calmly gab instead Then stuffed really decent say do own brutally unstable awful just decided one make probably gathering show act Just plain awful then directing doing not make DVD renal left run interesting entertain Then break say see crappy did once ",37, 62,-1
"went call went watch come not just asking back asked double bad acting n't believe hit so low reduced making 4th 5th secondary watched expecting see usually reduced using single take wrong unbelievable even read left wondering even picked as only doing n't show repeat other pathetic chopped shaky seemed deteriorated showing assassinated steadier cleaner honest tell not waste seeing not up read one said 12 million paid 5 still came concur direct DVD conscientious play ",37, 62,-1
"watching worst possibly find good watching told one again forced give good kicking serious ",37, 62,-1
"Sadly misguided stunk finish hard watch used watch LOVED Then next found did gorgeous n't really heard watched n't believe even let like seen all Everything wrong still looked somewhere trying really really hard save sunk Too bad act love see real real ",37, 62,-1
"latest going around starting casting 3 2008 So mean made dumped mean dumped coming 3rd so now 3 3 there ever true also heard few brought back 3rd also heard Specially featured 3 Hopefully not too much 2 just stating latest ",37, 62,-1
"red overwhelming got wanted see see one-dimensional not worth spend sometimes ",37, 62,-1
"wonder existed made rough 3 trimmed incoherent finance say good looking young canwith dramatic given apparent acting toput politely amateurish Not probably prove untrue anyoneactually attempt actually watch ",37, 62,-1
"excited view total disappointed furious Too much too much too much Spanish horrible very human not pretty shown uncountable as well pseudo worst really see go see ",37, 62,-1
"exactly merited real not able reprise already scant indulge obvious made fill professional martial expert good fair filling requisite comedic once repeating same few not get irritating really comic minor watch almost therein not go see serious however unintentional many followed two only seen first so bad only wonder meant elaborate so terrible once welcome more less completely aforementioned instead whole new set indeterminate still going ahead minor one new stronger more earlier all now called early primarily abstract barely more eighty quickly told funding cut essentially turned somehow overhearing never really explained mobilise seeking shut only so often required put prevent automatic first short familiar constructed guess five get injuring too badly woven about as much acting loaded ridiculous tell not strong kidding short adequate original given very thorough brought seen Here take granted least created leaving later Here one shot massive presumably getting stopping reserve one so bad entertaining completely unintentional see cheap knock mourn ",37, 62,-1
"interesting watch however about one n't really contain much cold hard not really true very sloppily tie together superb however Even right very look pretty intense Only see cool thin make sad wasted listening seen other based true however not find online so basically watch ",37, 62,-1
"shot definitely tell Bad acting horrible lame decent special not make good make cry aimed high sorely missed ",37, 62,-1
"sleek sexy Only multiple truly Personally intelligent left untouched right away wonderful really internal together wonderfully Not only alike gain higher modern sexual surely ",38, 61,-1
"find redeeming examined submissive heroin-addicted part-time all received repeated abusive Now squirting all so gained somehow akin placing running patronizing just upset came too quickly murdering female then chopping relentlessly bullied circular only decent horrendous good shot otherwise expensive interested really serious most insane saw lousy then put Accused Oh as worse going sick ",37, 62,-1
"2004 bored looked Comcastic little find watch following n't warn not watch used just 2 completely misnamed little depending do all one crooked as badly as possible trying suck much trivial then serial Not only flawed thinking flick also serial completely wrong Serial killing down personal n't even dismember boring Eventually one whopping five done apparent five come back head kill all buried tossed n't know buy sharp clean all wearing then very poorly take acting writing n't look zombie-like really dark all talk behave think act perfectly human weak compared even many Then exact same later Go only one willing go topless trite so badly constructed see stopped painting obviously filming see bad overly sparse even blind see failing clear 1-10 ",37, 62,-1
"hard believe succeed topping so contrived unbelievable starting laying small spare Then collusive least six maybe more including involved everywhere Next seemingly comparatively happy very shortly kicking very unpleasant aided abetted supported politically correct Moving did not help helped very beautiful supposedly housing did not seem logically suit small enough need small really like painfully thin certainly Also simply either thoroughly disliked taken did read kept surfing back forth leave saccharine got too much unbelievable wooden acting contorted religious-mythological-allegory skip one maybe small carping n't caring small small best ",37, 62,-1
"one most hateful cruel seen long Sadly duped sticking misleadingly gave last happen annoyingly whiny as stupid smarter killed just one many made ask late-night so filled sadistic filled pathological Most particular focus terrorized murdered suspenseful sick twisted doing turning insulting misleadingly good BAGGED first used lure kicking wasting giving ",37, 62,-1
"almost perfect only beaten new original super treated even worst ever seen just shove just silly wearing enough bad lois supposed hard more weak predictable actually ever thought acting horrible one good going brilliant even not save needed different watched watching chocked learn existed worse then that ",37, 62,-1
"justly famous one most horrible ever produced insistent simplypathological even worse almost believable brief sheer strong sit n't recommend trying good ",37, 62,-1
"as far looked catching last certain only n't substandard horrible horrible horrible saw commenting great Not all bad as well just turn instead see pasty white blocking seeing just gone so n't complete awful capitalized lone 2-10 only looked so hot ",37, 62,-1
"Sometimes nervous really nervous punctuated just freaked all watching coming 12 old 2006 1972 classic however made new about as scary friendly favorite weaving wicker 3 ago told heard going do started laughing got mad touting great just did n't think pull unfortunately right Gone outstanding original wonderfully powerful Instead affected acting apart many countless inundated lately watching 4th playing original remote Scottish lured there find missing young named new lured find missing missing exactly like young tried save fiery not long ago still never found Yet even completely cast north alone help find find full pretending many did n't get n't long afraid here Not even cloudy eyed blind make great often great so many personal preparing needed bad needed yet 9-11 starting wonder changed wanted pleaded do so ",38, 61,-1
"rental back donate Total rubbish Five watched same n't one single heard yawning beautiful best look entire so-called comedic ",38, 61,-1
"n't know begin one cheap used make back late early full bad digital really cheesy sounding so bad not even funny terrible little now as just threw together forgot supposed Perhaps one most ridiculous early several explosive even clearly stated remote detonated bad chase bad doing ludicrous completely pointless up doing so one one thrown clearly thrown vanished Then few later apparently unscathed even explosive planted shoot driving past then blow also clearly done confusing so point n't talking here talking cheap cheesy actually done better did never know only assume did blackmailed probably last one ",37, 62,-1
"said n't already pure beginning end keep laughing perfect get wild-style four assorted infamous brought once again complete directing few other most likely n't recognize appear as well n't remember care done Supposedly based called Terrible find single anywhere interested reading see went wrong Instead apparently Probably made sell lame one up easily one best bad ever seen saying ",37, 62,-1
"really bad mercifully short-lived starred made same also embarrassed cast particular too old fat pushing 70 made Greek pretty much Other pointed many laughable so n't repeat here add amazed yet mentioned ridiculously tiny-looking big bloated also astonished high 4 7 here far concerned 1 good flogging really bad especially 20-plus original look no further Fatal avoid ",37, 62,-1
"bad appalled find little made exploit young specifically distinct simulated next sad teenage watching late supposed think ",37, 62,-1
"only avoid making interesting cogent feel virtuous sitting so many IMPORTANT so discernable away new one one invariably do pointless better spend one staring ",37, 62,-1
"tried remove considered also seen first least know general so n't some not make tired philosophical again again get bombarded again again forced endure long torturous awakened last now own vague about so n't seem still worried vague spoil n't read revealed temporary also revealed also revealed revealed Explaining further revealed go too much refrain writing revealed pounded Storyline So get last next one short keep overly-stylized bullet-time going hoping alike appreciate more More later not spoil say no more already did still trying figure looking trying save all going pretty much last one left martial peppered somewhat equal much more martial adding Special so often used waved really tiresome discussed alike nearly all found sequences--especially fight all heard too long tedious huge red either leave wanting slight more completely content just occured over-stylized over-the-top wooden uninspired first real not just looking good honestly n't think manage Reloaded anyway remind good n't regret not consistent actually not consistent first here n't too glaring--unlike Reloaded Special poured little just many just areslow-moed bullet-timed over-accentuated evident throw did throw real Sharp really helped first free obviously given already more less said tired full philosophical n't really bring shoving neglecting altogether given contemplate own acting stiff best good acting confused about all decent show flat make as cool provided noble also flat n't very believable always same much n't there very physical well enough once again brought weird too suffered actually most interesting instead just huge drawn beyond disappointing good own stand-alone not supposed taken still horrible n't see deep least see enjoyable interesting good few funny enough restrained amuse attentive Reloaded really give better 3rd Granted n't left ",38, 61,-1
"definitely sorry one really Most laughable only interesting last five n't believe even made one actually hard up ",38, 61,-1
"interesting gone bad hidden left serial intriguing excruciatingly slow much other describe boring only interesting connecting tedious credible little do stretched Several supporting wasted including chief medical most notably featured DVD yet only spoken cracked Not recommended ",38, 61,-1
"one worst ever seen given free placed online non DVD related No given away surely one part say found hilarious worst five ever got on earth talented get involved unbelievable Mostly badly done wanting entertained avoid ",38, 61,-1
